fechaSen,fechaEjec,accion,precioEjec,regla,puntaje_regla
2007-05-17,2007-05-18,Compra,30761.437399965,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.8726283672
2007-06-13,2007-06-14,Venta por banda superior,31970.2091235975,"IF MFI.14 is (64.2,69.7] THEN  is -1; (supportSize=3; laplace=0.8)",3.8392950338
2007-06-20,2007-06-21,Compra,31618.7540577425,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.8373491899
2007-06-26,2007-06-27,Venta por banda inferior,30503.2704271838,"IF Williams.R.14 is [-Inf,-87.5] THEN  is -1; (supportSize=2; laplace=0.75)",2.7147208227
2007-06-27,2007-06-28,Compra,31029.57482184,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.8744396832
2007-07-03,2007-07-04,Venta por banda superior,32180.4770582925,"IF MFI.14 is (64.2,69.7] THEN  is -1; (supportSize=3; laplace=0.8)",3.8763855271
2007-07-05,2007-07-06,Compra,32431.6621193913,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.8375237931
2007-07-24,2007-07-25,Venta por banda inferior,31234.4184450113,"IF Williams.R.14 is [-Inf,-87.5] THEN  is -1; (supportSize=2; laplace=0.75)",2.6778049326
2007-07-25,2007-07-26,Compra,30292.4122927937,"IF Williams.R.14 is (-87.5,-75] THEN  is 1; (supportSize=2; laplace=0.75)",2.7193531911
2007-08-03,2007-08-06,Venta por banda inferior,29364.0465234375,"IF Williams.R.14 is [-Inf,-87.5] THEN  is -1; (supportSize=2; laplace=0.75)",2.6471581237
2007-08-06,2007-08-07,Compra,30061.8578515625,"IF Williams.R.14 is (-87.5,-75] THEN  is 1; (supportSize=2; laplace=0.75)",2.6653204627
2007-08-14,2007-08-15,Venta por banda inferior,28437.53364984,"IF Williams.R.14 is [-Inf,-87.5] THEN  is -1; (supportSize=2; laplace=0.75)",2.5931253953
2007-08-30,2007-08-31,Compra,30123.7465625,"IF MFI.14 is (58.7,64.2] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.8398223441
2007-09-18,2007-09-18,Venta fin periodo,30192.98753205,No aplica,0
